Date,True_production,Forecast
2021-01-23_16,0.0,0.0
2021-01-23_17,0.0,0.51538646
2021-01-23_18,0.0,3.1324518
2021-01-23_19,0.0,4.615118
2021-01-23_20,0.0,4.866705
2021-01-23_21,0.0,5.0223446
2021-01-23_22,0.0,5.2040462
2021-01-23_23,0.0,5.3969784
2021-01-24_0,0.0,5.3449154
2021-01-24_1,0.0,1.3472956
2021-01-24_2,0.0,0.1545466
2021-01-24_3,0.0,0.0
2021-01-24_4,0.0,0.0
2021-01-24_5,0.0,0.0
2021-01-24_6,0.0,0.0
2021-01-24_7,3.1000000000000227,1.674383
2021-01-24_8,11.300000000000011,43.889378
2021-01-24_9,59.889999999999986,64.468544
2021-01-24_10,81.73000000000002,129.04373
2021-01-24_11,179.44,112.265816
2021-01-24_12,710.78,178.4209
2021-01-24_13,528.38,618.4825
2021-01-24_14,204.06,336.21332
2021-01-24_15,13.740000000000009,53.236515
2021-01-24_16,0.0,0.0
2021-01-24_17,0.0,4.3920956
2021-01-24_18,0.0,3.009588
2021-01-24_19,0.0,3.9415338
2021-01-24_20,0.0,4.575201
2021-01-24_21,0.0,5.0116634
2021-01-24_22,0.0,5.233465
2021-01-24_23,0.0,5.6751766
2021-01-25_0,0.0,5.455328
2021-01-25_1,0.0,1.5379695
2021-01-25_2,0.0,0.12000071
2021-01-25_3,0.0,0.0
2021-01-25_4,0.0,0.0
2021-01-25_5,0.0,0.0
2021-01-25_6,0.0,0.0
2021-01-25_7,0.0,1.755926
2021-01-25_8,3.1200000000000045,32.367252
2021-01-25_9,23.55000000000001,39.97684
2021-01-25_10,34.06,69.76798
2021-01-25_11,32.84000000000009,51.183384
2021-01-25_12,33.690000000000055,37.62473
2021-01-25_13,17.340000000000032,42.008152
2021-01-25_14,9.560000000000002,12.305426
2021-01-25_15,1.2999999999999545,1.6317195
2021-01-25_16,0.0,0.0
2021-01-25_17,0.0,1.1832331
2021-01-25_18,0.0,4.5102596
2021-01-25_19,0.0,5.1699276
2021-01-25_20,0.0,4.607855
2021-01-25_21,0.0,4.4964046
2021-01-25_22,0.0,4.479254
2021-01-25_23,0.0,4.8136044
2021-01-26_0,0.0,5.033514
2021-01-26_1,0.0,1.5673884
2021-01-26_2,0.0,0.0
2021-01-26_3,0.0,0.0
2021-01-26_4,0.0,0.0
2021-01-26_5,0.0,0.0
2021-01-26_6,0.0,0.0
2021-01-26_7,0.0,2.1246393
2021-01-26_8,0.0,35.445225
2021-01-26_9,29.170000000000016,39.37235
2021-01-26_10,18.689999999999998,79.804756
2021-01-26_11,42.539999999999964,37.222263
2021-01-26_12,39.90999999999997,54.564396
2021-01-26_13,2.7799999999999727,57.803623
2021-01-26_14,1.7999999999999545,16.57047
2021-01-26_15,1.1499999999999773,3.6078546
2021-01-26_16,0.0,2.368902
2021-01-26_17,0.0,2.7227838
2021-01-26_18,0.0,5.5947933
2021-01-26_19,0.0,5.700079
2021-01-26_20,0.0,4.989935
2021-01-26_21,0.0,4.7374325
2021-01-26_22,0.0,5.2337093
2021-01-26_23,0.0,5.2305965
2021-01-27_0,0.0,4.844488
2021-01-27_1,0.0,0.8989314
2021-01-27_2,0.0,0.0
2021-01-27_3,0.0,0.0
2021-01-27_4,0.0,0.0
2021-01-27_5,0.0,0.0
2021-01-27_6,0.0,0.0
2021-01-27_7,0.0,55.267063
2021-01-27_8,0.0,40.834934
2021-01-27_9,0.0,20.48438
2021-01-27_10,0.0,29.251806
2021-01-27_11,0.0,16.091314
2021-01-27_12,0.0,6.080694
2021-01-27_13,0.0,15.9289
2021-01-27_14,0.0,3.771673
2021-01-27_15,0.0,0.0
2021-01-27_16,0.0,0.0
2021-01-27_17,0.0,1.6767024
2021-01-27_18,0.0,5.2670345
2021-01-27_19,0.0,5.496954
2021-01-27_20,0.0,5.2147884
2021-01-27_21,0.0,5.1176205
2021-01-27_22,0.0,4.9837093
2021-01-27_23,0.0,5.465948
2021-01-28_0,0.0,5.663641
2021-01-28_1,0.0,0.5309504
2021-01-28_2,0.0,0.0
2021-01-28_3,0.0,0.0
2021-01-28_4,0.0,0.0
2021-01-28_5,0.0,0.0
2021-01-28_6,0.0,0.6713923
2021-01-28_7,0.2799999999999727,43.66779
2021-01-28_8,27.629999999999995,213.15076
2021-01-28_9,35.190000000000055,105.78248
2021-01-28_10,1.919999999999959,62.15546
2021-01-28_11,25.839999999999975,27.268652
2021-01-28_12,9.309999999999945,33.547886
2021-01-28_13,0.7400000000000091,11.591803
2021-01-28_14,0.0,1.1578425
2021-01-28_15,0.0,0.0
2021-01-28_16,0.0,0.96533763
2021-01-28_17,0.0,3.0523126
2021-01-28_18,0.0,5.1263485
2021-01-28_19,0.0,5.071722
2021-01-28_20,0.0,4.764593
2021-01-28_21,0.0,4.511175
2021-01-28_22,0.0,4.5079403
2021-01-28_23,0.0,5.083868
2021-01-29_0,0.0,5.5723324
2021-01-29_1,0.0,1.8619441
2021-01-29_2,0.0,0.0
2021-01-29_3,0.0,0.0
2021-01-29_4,0.0,0.0
2021-01-29_5,0.0,0.0
2021-01-29_6,0.0,0.0
2021-01-29_7,0.0,12.290258
2021-01-29_8,23.92999999999995,110.48435
2021-01-29_9,140.43,81.45454
2021-01-29_10,265.82000000000005,235.69498
2021-01-29_11,208.43,307.2343
2021-01-29_12,125.49000000000001,196.15933
2021-01-29_13,110.89999999999998,120.24964
2021-01-29_14,46.69999999999993,72.31446
2021-01-29_15,2.080000000000041,18.020971
2021-01-29_16,0.0,1.1643122
2021-01-29_17,0.0,1.8078059
2021-01-29_18,0.0,5.0270443
2021-01-29_19,0.0,5.54743
2021-01-29_20,0.0,4.9108944
2021-01-29_21,0.0,4.8449154
2021-01-29_22,0.0,4.9634457
2021-01-29_23,0.0,5.3643856
2021-01-30_0,0.0,5.383856
2021-01-30_1,0.0,1.6615046
2021-01-30_2,0.0,0.12470042
2021-01-30_3,0.0,0.0
2021-01-30_4,0.0,0.0
2021-01-30_5,0.0,0.0
2021-01-30_6,0.0,0.3628596
2021-01-30_7,0.0,11.098028
2021-01-30_8,0.0,41.004246
2021-01-30_9,0.0,27.078375
2021-01-30_10,0.0,36.390995
2021-01-30_11,0.0,16.137884
2021-01-30_12,0.0,18.028143
2021-01-30_13,0.0,19.42484
2021-01-30_14,0.0,11.727514
2021-01-30_15,0.0,0.0
2021-01-30_16,0.0,0.38745677
2021-01-30_17,0.0,2.9913995
2021-01-30_18,0.0,5.6382504
2021-01-30_19,0.0,5.6822567
2021-01-30_20,0.0,4.99671
2021-01-30_21,0.0,4.8833065
2021-01-30_22,0.0,4.8537655
2021-01-30_23,0.0,5.3747005
2021-01-31_0,0.0,5.4803524
2021-01-31_1,0.0,0.53253734
2021-01-31_2,0.0,0.0
2021-01-31_3,0.0,0.0
2021-01-31_4,0.0,0.0
2021-01-31_5,0.0,0.0
2021-01-31_6,0.0,0.0
2021-01-31_7,0.0,27.032232
2021-01-31_8,0.0,44.499516
2021-01-31_9,4.009999999999991,31.690222
2021-01-31_10,6.92999999999995,42.57285
2021-01-31_11,11.240000000000009,66.347084
2021-01-31_12,5.8799999999999955,81.30311
2021-01-31_13,5.740000000000009,77.28333
2021-01-31_14,5.92999999999995,39.79938
2021-01-31_15,0.0,16.788397
2021-01-31_16,0.0,3.7531793
2021-01-31_17,0.0,3.6452081
2021-01-31_18,0.0,5.4786434
2021-01-31_19,0.0,5.418646
2021-01-31_20,0.0,4.2810726
2021-01-31_21,0.0,3.969671
2021-01-31_22,0.0,4.8853817
2021-01-31_23,0.0,4.8785458
2021-02-01_0,0.0,4.643011
2021-02-01_1,0.0,3.0046442
2021-02-01_2,0.0,1.4655207
2021-02-01_3,0.0,0.4124812
2021-02-01_4,0.0,0.0
2021-02-01_5,0.0,0.0
2021-02-01_6,0.0,16.899328
2021-02-01_7,0.0,100.53739
2021-02-01_8,16.410000000000082,122.718544
2021-02-01_9,35.190000000000055,61.467106
2021-02-01_10,677.75,125.17155
2021-02-01_11,2486.75,966.463
2021-02-01_12,2401.1899999999996,2344.7078
2021-02-01_13,1942.15,2101.3525
2021-02-01_14,1399.08,1152.5657
2021-02-01_15,481.2,415.98596
2021-02-01_16,22.300000000000068,40.838383
2021-02-01_17,0.0,0.0
2021-02-01_18,0.0,0.0
2021-02-01_19,0.0,3.6756036
2021-02-01_20,0.0,1.7475032
2021-02-01_21,0.0,4.669012
2021-02-01_22,0.0,4.888006
2021-02-01_23,0.0,5.1400204
2021-02-02_0,0.0,5.0653744
2021-02-02_1,0.0,5.2097225
2021-02-02_2,0.0,6.665228
2021-02-02_3,0.0,5.963751
2021-02-02_4,0.0,0.49451244
2021-02-02_5,0.0,0.0
2021-02-02_6,0.0,4.445135
2021-02-02_7,24.54000000000002,91.09629
2021-02-02_8,211.87,197.97061
2021-02-02_9,848.22,418.5452
